Rank,Title,Artist,Lyrics,Genre
11,Not Like Us,Kendrick Lamar,"['Hyphy', 'Hardcore Rap', 'Hip-Hop', 'Diss Track', 'In English', 'USA', 'West Coast Rap', 'Rap']","1483 ContributorsTranslationsTürkçePortuguêsРусскийEspañolDeutschPolskiRomânăFrançaisالعربيةहिन्दीNot Like Us Lyrics[Intro]
Psst, I see dead people
(Mustard on the beat, ho)

[Verse 1]
Ayy, Mustard on the beat, ho
Deebo any rap nigga, he a free throw
Man down, call an amberlamps, tell him, ""Breathe, bro""
Nail a nigga to the cross, he walk around like Teezo
What's up with these jabroni-ass niggas tryna see Compton?
The industry can hate me, fuck 'em all and they mama
How many opps you really got? I mean, it's too many options
I'm finna pass on this body, I'm John Stockton
Beat your ass and hide the Bible if God watchin'
Sometimes you gotta pop out and show niggas
Certified boogeyman, I'm the one that up the score with 'em
Walk him down, whole time, I know he got some ho in him
Pole on him, extort shit, bully Death Row on him
Say, Drake, I hear you like 'em young
You better not ever go to cell block one
To any bitch that talk to him and they in love
Just make sure you hide your lil' sister from him
They tell me Chubbs the only one that get your hand-me-downs
And Party at the party playin' with his nose now
And Baka got a weird case, why is he around?
Certified Lover Boy? Certified pedophiles
Wop, wop, wop, wop, wop, Dot, fuck 'em up
Wop, wop, wop, wop, wop, I'ma do my stuff
Why you trollin' like a bitch? Ain't you tired?
Tryna strike a chord and it's probably A minor
You might also like[Chorus]
They not like us, they not like us, they not like us
They not like us, they not like us, they not like us

[Verse 2]
You think the Bay gon' let you disrespect Pac, nigga?
I think that Oakland show gon' be your last stop, nigga
Did Cole foul, I don't know why you still pretendin'
What is the owl? Bird niggas and burnt bitches, go
The audience not dumb
Shape the stories how you want, hey, Drake, they're not slow
Rabbit hole is still deep, I can go further, I promise
Ain't that somethin'? B-Rad stands for bitch and you Malibu most wanted
Ain't no law, boy, you ball boy, fetch Gatorade or somethin'
Since 2009, I had this bitch jumpin'
You niggas'll get a wedgie, be flipped over your boxers
What OVO for? The ""Other Vaginal Option""? Pussy
Nigga better straighten they posture, got famous all up in Compton
Might write this for the doctorate, tell the pop star quit hidin'
Fuck a caption, want action, no accident
And I'm hands-on, he fuck around, get polished
Fucked on Wayne girl while he was in jail, that's connivin'
Then get his face tatted like a bitch apologizin'
I'm glad DeRoz' came home, y'all didn't deserve him neither
From Alondra down to Central, nigga better not speak on Serena
And your homeboy need subpoena, that predator move in flocks
That name gotta be registered and placed on neighborhood watch
I lean on you niggas like another line of Wock'
Yeah, it's all eyes on me, and I'ma send it up to Pac, ayy
Put the wrong label on me, I'ma get 'em dropped, ayy
Sweet Chin Music and I won't pass the aux, ayy
How many stocks do I really have in stock? Ayy
One, two, three, four, five, plus five, ayy
Devil is a lie, he a 69 God, ayy
Freaky-ass niggas need to stay they ass inside, ayy
Roll they ass up like a fresh pack of 'za, ayy
City is back up, it's a must, we outside, ayy
[Chorus]
They not like us, they not like us, they not like us
They not like us, they not like us, they not like us

[Verse 3]
Once upon a time, all of us was in chains
Homie still doubled down callin' us some slaves
Atlanta was the Mecca, buildin' railroads and trains
Bear with me for a second, let me put y'all on game
The settlers was usin' townfolk to make 'em richer
Fast-forward, 2024, you got the same agenda
You run to Atlanta when you need a check balance
Let me break it down for you, this the real nigga challenge
You called Future when you didn't see the club (Ayy, what?)
Lil Baby helped you get your lingo up (What?)
21 gave you false street cred
Thug made you feel like you a slime in your head (Ayy, what?)
Quavo said you can be from Northside (What?)
2 Chainz say you good, but he lied
You run to Atlanta when you need a few dollars
No, you not a colleague, you a fuckin' colonizer
The family matter and the truth of the matter
It was God's plan to show y'all the liar

[Bridge]
Mm
Mm-mm
He a fan, he a fan, he a fan (Mm)
He a fan, he a fan, he a
Freaky-ass nigga, he a 69 God
Freaky-ass nigga, he a 69 God
Hey, hey, hey, hey, run for your life
Hey, hey, hey, hey, run for your life
Freaky-ass nigga, he a 69 God
Freaky-ass nigga, he a 69 God
Hey, hey, hey, hey, run for your life
Hey, hey, hey, hey, run for your life
Let me hear you say, ""OV-ho"" (OV-ho)
Say, ""OV-ho"" (OV-ho)
Then step this way, step that way
Then step this way, step that way
[Outro]
Are you my friend?
Are we locked in?
Then step this way, step that way
Then step this way, step that way150Embed"
12,Timeless,The Weeknd & Playboi Carti,"['AI', 'R&B', 'Pop Rap', 'Rap', 'USA', 'In English', 'Southern Rap', 'Pop', 'Canada', 'Atlanta Rap']","364 ContributorsTranslationsPortuguêsEspañolРусскийFrançaisTürkçeDeutsch中文Timeless Lyrics[Intro: The Weeknd]
XO
Ooh, yeah, ooh, yeah, no

[Verse 1: Playboi Carti & The Weeknd]
Ever since I was a jit, knew I was the shit (Ooh, yeah)
Shorty keep wanna come 'round, she wanna get hit (Wanna get hit so hard)
She think she the main because I keep her by my side
Double-O, bust down the watch, she know that I'm timeless (Timeless)
I put my son in some Rick
I pull that gun off the hip
Pockets hold twenty-two clips (Ah)
I break her heart, Comme Garçon
Put on a shirt, get put on a blimp
Bitch like a stain, get ready to lick
I had to tell her that ever since I was a jit, knеw I was the shit (Oh)
She singin' my songs, she wanna diе lit, tryna get hit
House like a bank, deposit this bitch, 'posit that check
Smile on my face, ain't playing shit, come and get checked (Uh)
Ice on my neck, double-O wrist
She in the Scat, hell of a 'Cat
Fresh out the trench, four hundred packs
Uh, yeah, I'm spinnin' in Paris (Uh)
Dress for these hoes, they finna flock
Just poured a four in a soda, it pop
Them drugs finna hit, I'm feelin' ill
I'm wrestlin' all of my demons, I feel like The Rock
You might also like[Chorus: The Weeknd & Playboi Carti]
(Shit, uh, yeah)
Ever since I was a kid, I been legit (Jit, ooh, nah)
If I was you, I would cut up my wrist (Dumb bit')
XO tatted all over her body, yeah (Yeah)
She just wanna roll and I don't mind it, yeah
Ever since I was a jit, I been legit (Ooh, nah, uh)
You should let her go, she wanna be it (Oh, yeah)
Double-O tatted on her body, yeah
It don't matter what they say, I'm timeless, yeah (Schyeah)

[Verse 2: The Weeknd & Playboi Carti]
Oh, city on fire when I'm comin' home
Fill up the sky (Yeah), I fill up the Dome
They'll play it one day (Yeah), it's a hell of a show
But it's gonna hurt 'cause we did it first
Feel like Skateboard P, BBC boys on the creep
Feel like it's '03, Neptune drum with a beam (Yeah)
She hippie-flippin' a bean, she wanna fuck with the team
She fell in love with the cream (Yeah), she fell in love with the scene
Ooh, yeah, her man quiet, not a peep (Oh, nah)
Broke his heart, PTSD (Oh, nah)
Hold his chest, let it breathe
Let it breathe, niggas scheme
And I got a priest, he got a cross
Get out of line, send him to God
I shed a tear, pray for a loss, ooh, yeah (Yeah)
[Chorus: The Weeknd & Playboi Carti]
Ever since I was a kid, I been legit (Homixide, Homixide, Homixide, oh, oh)
If I was you, I would cut up my wrist (Ah)
XO tatted all over her body, yeah (Body, yeah)
She just wanna roll and I don't mind it, yeah
Ever since I was a jit, I been legit (Yeah, ooh, nah)
You should let her go, she wanna be it (Oh, nah)
Double-O tatted on her body, yeah (Body, yeah)
It don't matter what they say, I'm timeless

[Outro: The Weeknd & Playboi Carti]
Timeless (Oh), timeless, timeless
Timeless, timeless, timeless, we timeless, oh
Timeless, timeless, timeless (Yeah), timeless
Timeless (Yeah), timeless, timeless, we timeless, oh
Oh (Blatt)
Oh (Yuh, lit)46Embed"
13,Too Sweet,Hozier,"['Soul Rock', 'Pop-Rock', 'Adult Contemporary', 'Soul Pop', 'Adult Alternative', 'Soul', 'Alternative', 'In English', 'Ireland', 'Alternative Rock', 'Rock']","117 ContributorsTranslationsEspañolDanskDeutschMagyarالعربيةNorsk (bokmål / riksmål)PortuguêsFrançaisTürkçeToo Sweet Lyrics[Verse 1]
It can't be said I'm an early bird
It's 10 o'clock before I say a word
Baby, I can never tell
How do you sleep so well?
You keep tellin' me to live right
To go to bed before the daylight
But then you wake up for the sunrise
You know you don't gotta pretend
Baby, now and then

[Pre-Chorus]
Don't you just wanna wake up, dark as a lake
Smellin' like a bonfire, lost in a haze?
If you're drunk on life, babe, I think it's great
But while in this world

[Chorus]
I think I'll take my whiskey neat
My coffee black and my bed at 3
You're too sweet for me
You're too sweet for me
I take my whiskеy neat
My coffee black and my bed at 3
You're too sweet for mе
You're too sweet for me
See Hozier LiveGet tickets as low as $81You might also like[Post-Chorus]
Ooh, ooh
Ooh, ooh

[Verse 2]
I aim low
I aim true, and the ground's where I go
I work late where I'm free from the phone
And the job gets done
But you worry some, I know
But who wants to live forever, babe?
You treat your mouth as if it's Heaven's gate
The rest of you like you're the TSA
I wish I could go along
Babe, don't get me wrong

[Pre-Chorus]
You know you're bright as the morning, as soft as the rain
Pretty as a vine, as sweet as a grape
If you can sit in a barrel, maybe I'll wait
Until that day
[Chorus]
I'd rather take my whiskey neat
My coffee black and my bed at 3
You're too sweet for me
You're too sweet for me
I take my whiskey neat
My coffee black and my bed at 3
You're too sweet for me
You're too sweet for me
[Post-Chorus]
Woah, woah
Woah, woah
Woah, woah
Woah, woah

[Outro]
I take my whiskey neat
My coffee black and my bed at 3
You're too sweet for me
You're too sweet for me5Embed"
14,Million Dollar Baby,Tommy Richman,"['USA', 'In English', 'Trap', 'R&B']","89 ContributorsTranslationsPortuguêsDeutschEspañolРусскийPolskiNorsk (bokmål / riksmål)MILLION DOLLAR BABY Lyrics[Intro]
Do it, baby, do what I should think
Do it, do it, baby, do what I could think
Do it, do it, baby, do what I should think
Do it, do it, baby, do what I could think
Do it, do it, do it, baby, do what I should think
Do it, baby, do what I could think
Do it, do it, do it, baby, do what I should think
Do it, do it, baby, do what I could think

[Chorus]
I ain't never rep a set, baby (Tsk, tsk)
I ain't do no wrong
I could clean up good for you
Oh, I know right from wrong
'Cause I wanna make it so badly
I'm a million-dollar baby, don't at me
Yeah, oh, hell no (Yeah, yeah)

[Verse]
You rep my city for so damn long (Ah, ah)
But you still don't notice me, my sound next
VA next (Yeah, yeah), I'm at they neck (Yeah, yeah)
I'm running up a check (Yeah, yeah, yeah, yeah)
She a bad lil' mama, she a diva
No matter what happens, he cannot come between us again
I know we're better than friends (Better than friends)
I took her to Queen's Gambit (Yeah, yeah), showed around my friends
Tried to pick some energy up, it don't matter
I know you haven't moved on if you tried (Oh, no)
I don't believe it, baby, I know you lied (Oh, no)
All night long, what you mean I changed?
Haven't stayed the same
I've been losing my mind (Ooh)
I said the city is mine (Ooh)
You might also like[Chorus]
I ain't never rep a set, baby
Ain't do no wrong
I could clean up good for you
Oh, I know right from wrong
'Cause I wanna make it so badly
I'm a million-dollar baby, don't at me
I ain't never rep a set, baby
Ain't do no wrong
I could clean up good for you
Oh, I know right from wrong
'Cause I wanna make it so badly
I'm a million-dollar baby, don't at me (No, no, no)

[Outro]
Hell, hell nah
Yeah, hell, hell no
Hell, hell no
Do it, baby, do what I should think
Do it, do it, baby, do what I could think
Do it, baby, do what I should think
Do it, do it, baby, do what I could think
Hell, hell nah
Yeah, hell, hell nah
Hell, hell nah6Embed"
15,Hot To Go!,Chappell Roan,"['LGBTQ+', 'Alternative Pop', 'Synth-Pop', 'Alternative Dance', 'Dance-Pop', 'Singer-Songwriter', 'USA', 'In English', 'Pop']","50 ContributorsTranslationsTürkçeDeutschFrançaisCatalàEspañolPortuguêsItalianoРусскийHOT TO GO! Lyrics[Intro]
Five, six
Five, six, seven, eight

[Verse 1]
I could be the one, or your new addiction
It's all in my head, but I want non-fiction
I don't want the world, but I'll take this city
Who can blame a girl? Call me hot, not pretty

[Refrain]
Baby, do you like this beat?
I made it so you'd dance with me
It's like a hundred ninety-nine degrees
When you're doing it with me, doing it with me

[Pre-Chorus]
H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
Dance it out, you're hot to go
H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
H-O-T-T-O-G-O
You might also like[Chorus]
H-O-T-T-O-G-O
You can take me hot to go
H-O-T-T-O-G-O
You can take me hot to go

[Verse 2]
Well, I woke up alone staring at my cеiling
I try not to care, but it hurts my feelings
You don't have to stare, comе here, get with it
No one's touched me there in a damn hot minute

[Refrain]
And baby, don't you like this beat?
I made it so you'd sleep with me
It's like a hundred ninety-nine degrees
When you're doing it with me, doing it with me

[Pre-Chorus]
H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
Dance it out, you're hot to go
H-O-T-T-O-G-O
Snap and clap and touch your toes
Raise your hands, now body roll
H-O-T-T-O-G-O
[Chorus]
H-O-T-T-O-G-O
You can take me hot to go
H-O-T-T-O-G-O
You can take me hot to go

[Bridge]
What's it take to get your number?
What's it take to bring you home?
Hurry up, it's time for supper
Order up, I'm hot to go
What's it take to get your number?
Hurry up, it's getting cold
Hurry up, it's time for supper
Order up, I'm hot to go

[Chorus]
H-O-T-T-O-G-O
You can take me hot to go (Oh, yeah)
H-O-T-T-O-G-O
You can take me hot to go (Hot to go)
H-O-T-T-O-G-O
You can take me hot to go (Oh, yeah)
H-O-T-T-O-G-O
You can take me hot to go
[Outro]
Whew, it's hot in here
Is anyone else hot?
Woo, you coming home with me?
Okay, it's hot
I'll call the cab7Embed"
16,Lies Lies Lies,Morgan Wallen,"['Ballad', 'In English', 'USA', 'Country']","9 ContributorsTranslationsEspañolLies Lies Lies Lyrics[Verse 1]
I don't come down with the Sun
I won't hate myself when the mornin' comes
No thoughts of your body runnin' through my head
No bottle of bourbon beside the bed, 'cause

[Verse 2]
It wasn't no thing to give you up
I never reach for you in another touch
Don't ever think about you with him
And girl, tonight I won't call again and again
Ain't nothin' but

[Chorus]
Lies, lies, lies
Look into my eyes, eyes, eyes
I'm still a fool for you
Nothin' I wouldn't do for you
Lies, lies, lies
Girl, I'm on a downhill dive
Habits and hard heartbreaks are hard to break
So I just tell the same old lies, liеs, lies
Yeah, baby, I can try, try, try

[Verse 3]
To act like I don't givе a damn, but I do
Bet you're missin' me bad as I miss you
Snowballs to a phone call
Soundin' somethin' stupid
Baby, 'cause the truth is
The ninety proof is tellin' me
You might also like[Chorus]
Lies, lies, lies
Look into my eyes, eyes, eyes
I'm still a fool for you
Nothin' I wouldn't do for you
Lies, lies, lies
Girl, I'm on a downhill dive
Habits and hard heartbreaks are hard to break
So I just tell the same old lies, lies, lyin' to myself
Why, why, why in the hell
Do I keep sayin', ""I can get you back""?
That's about as honest as sayin' that

[Pre-Chorus]
I don't come down with the Sun
I won't hate myself when the mornin' comes
Them ain't nothin' but

[Chorus]
Lies, lies, lies
Look into my eyes, eyes, eyes
I'm still a fool for you
Nothin' I wouldn't do for you
Lies, lies, lies
Girl, I'm on a downhill dive
Habits and hard heartbreaks are hard to break
So I just tell the same old lies, lies, lies
[Outro]
Lies, lies, liesEmbed"
17,I Am Not Okay,Jelly Roll,"['USA', 'In English', 'Ballad', 'Mental Health', 'Country']","12 ContributorsTranslationsEspañolУкраїнськаI Am Not Okay Lyrics[Verse 1]
I am not okay
I'm barely getting by
I'm losing track of days
And losing sleep at night
I am not okay
I'm hanging on the rails
So if I say I'm fine
Just know I learned to hide it well

[Chorus]
I know I can't be the only one
Who's holding on for dear life
But God knows, I know
When it's all said and done
I'm not okay
But it's all gonna be alright
It's not okay
But we're all gonna be alright

[Verse 2]
I woke up today
I almost stayed in bed
Had the devil on my back
And voices in my head
Some days, it ain't all bad
Some days, it all gets worse
Some days, I swear I'm better off
Layin' in that dirt
See Jelly Roll LiveGet tickets as low as $45You might also like[Chorus]
I know I can't be the only one
Who's holding on for dear life
But God knows, I know
When it's all said and done
I'm not okay
But it's all gonna be alright
It's not okay
But wе're all gonna be alright
Gonna be all right
Gonna bе all right

[Bridge]
I know one day
We'll see the other side
The pain'll wash away
In a holy water tide
And we all gonna be alright

[Chorus]
I know I can't be the only one
Who's holding on for dear life
But God knows, I know
When it's all said and done
I'm not okay
But it's all gonna be alright
It's not okay
But we're all gonna be alright
I'm not okay
But it's all gonna be alrightEmbed"
18,Miles On It,Marshmello & Kane Brown,"['In English', 'USA', 'EDM', 'House', 'Electronic', 'Pop', 'Dance', 'Country Pop', 'Dance-Pop', 'Country']","14 ContributorsMiles On It Lyrics[Verse 1: Kane Brown]
New truck, big lift
Old roads, we've been
Tearin' up since way back when
But these wheels are innocent
New hitch, new seats, no history
And you just can't fake that
So, let's change that

[Chorus: Kane Brown]
Girl, let's go put some miles on it
Back of the Chevy with the engine runnin'
Just you and me in a truck bed wide like a California King
We could break it in if you know what I mean
Put some miles on it
Back of the Chevy with the engine runnin'
Just you and me in a truck bed wide like a California King
Wе could break it in if you know what I mean
Put some milеs on it
We could break it in if you know what I mean

[Verse 2: Kane Brown]
All night, no brakes
All tail, no gate
Ain't gotta try too hard
My baby's push to start
All torque, full speed
Off-road, on me
Zero to a hundred fast
My foot ain't touch the gas
I said, ""Hey, baby, slow it down, let's make it last""
You said, ""Where's the fun in that?""
You might also like[Chorus: Kane Brown]
Yeah, let's go, put some miles on it
Back of the Chevy with the engine runnin'
Just you and me in a truck bed wide like a California King
We could break it in if you know what I mean
Put some miles on it
We could break it in if you know what I mean
Put some miles on it
We could break it in if you know what I mean

[Bridge: Kane Brown]
Mile after mile after mile after mile
Turn up the night like that radio dial
Shoulder to shoulder where nobody knows
Know where we're goin', we ain't goin' home

[Chorus: Kane Brown]
We're puttin' miles on it
Back of the Chevy with the engine runnin'
Just you and me in a truck bed wide like a California King
We could break it in if you know what I mean
Put some miles on it
Back of the Chevy with the engine runnin'
Just you and me in a truck bed wide like a California King
We could break it in if you know what I mean
Put some miles on it
We could break it in if you know what I mean
Put some miles on it
We could break it in if you know what I mean
Put some miles on itEmbed"
19,Ain't No Love In Oklahoma,Luke Combs,"['Soundtrack', 'In English', 'USA', 'Country']","22 ContributorsAin’t No Love in Oklahoma Lyrics[Verse 1]
I keep chasing that same old devil
Down the same old dead-end highway
Riding that storm running through my veins
Like a shot down tailspun airplane
Scared of nothing and I'm scared to death
I can't breathe and I catch my breath
But I keep chasing that same old devil
Down the same old dead-end highway

[Chorus]
Ain't no love in Oklahoma
Just the whistle of a long black train
You'll know when it's coming for ya
Riding in on the wind and rain

[Verse 2]
I got saved in the same Red River
The same Red River tryna drown me
It ain't knocking me down, I'm standing my ground
With the whole world falling all around me
I keep running, but I'm standing still
Pray for peace, but I need thе thrill
So I keep chasing that same old devil
Down the samе old dead-end highway
See Luke Combs LiveGet tickets as low as $60You might also like[Chorus]
Ain't no love in Oklahoma
Just the whistle of a long black train
You'll know when it's coming for ya
Riding in on the wind and rain

[Chorus]
Ain't no love in Oklahoma
Just the whistle of a long black train
You'll know when it's coming for ya
Riding in on the wind and rain
Ain't no love in Oklahoma
Just the whistle of a long black train
You'll know when it's coming for ya
Riding in on the wind and rainEmbed"
20,Cowgirls,Morgan Wallen Featuring ERNEST,"['In English', 'USA', 'Duet', 'Alternative R&B', 'R&B', 'Country Pop', 'Country']","12 ContributorsCowgirls Lyrics[Verse 1: Morgan Wallen]
She'll set the field on fire just cuttin' across a pasture
She'll have you fallin' for it all and then leave right after
And she got a cold heart but she got a warm smile
Cut from the same cloth, she kinda buck wild
Little bit angel, whole lotta outlaw
She's trouble but I'll tell you right now, y'all

[Chorus: Morgan Wallen]
Long live cowgirls
Never gonna settle on down girls
Leave you in a lonely ghost town world
Where the sun don't rise, rodeo for one night
Love you like a mustang
One hand on thеm giddy-up reins
Hole in your heart with somе good aim
On a goodbye ride but it's fine 'cause it's kinda my thing
Long live cowgirls
Yeah, long live cowgirls

[Verse 2: ERNEST]
I hate that I love the way them kisses taste like whiskey
How they wake up, take on off, and not even miss me
Leave this heart broken, holdin' that smokin' gun
I guess that's just the way them wild horses run
Let 'em run
You might also like[Chorus: ERNEST]
Long live cowgirls
Never gonna settle on down girls
Leave you in a lonely ghost town world
Where the sun don't rise, rodeo for one night
Love you like a mustang
One hand on them giddy-up reins
Hole in your heart with some good aim
On a goodbye ride but it's fine 'cause it's kinda my thing
Long live cowgirls
Yeah, long live cowgirls

[Bridge: Morgan Wallen]
Come on, cowgirls
Don't you wanna take me away?
Lay me on down, girl
With the wild kind of lovin' you make
For God's sake

[Chorus: Morgan Wallen, Morgan Wallen & ERNEST]
Long live cowgirls
Never gonna settle on down girls
Leave you in a lonely ghost town world
Where the sun don't rise, rodeo for one night
Love you like a mustang
One hand on them giddy-up reins
Hole in your heart with some good aim
On a goodbye ride but it's fine 'cause it's kinda my thing
Long live cowgirls
Yeah, long live cowgirls
[Outro: Morgan Wallen]
Long live cowgirls
Yeah, long live cowgirlsEmbed"
